StockSymbol,Price,RecordedDateTime
AAPL,80.07,17-11-2023 14:39
GOOGL,150,17-11-2023 14:39
MSFT,53.15,17-11-2023 14:39
TCS,62.63,17-11-2023 14:39
AAPL,79.34,17-11-2023 14:39
GOOGL,152.65,17-11-2023 14:39
MSFT,53.41,17-11-2023 14:39
TCS,64.28,17-11-2023 14:39
AAPL,80.51,17-11-2023 14:39
GOOGL,152.48,17-11-2023 14:39
MSFT,54.95,17-11-2023 14:39
TCS,65.63,17-11-2023 14:39
AAPL,80.41,17-11-2023 14:39
GOOGL,150.12,17-11-2023 14:39
MSFT,56.03,17-11-2023 14:39
TCS,63.95,17-11-2023 14:39
AAPL,81.21,17-11-2023 14:39
GOOGL,150.75,17-11-2023 14:39
MSFT,56.41,17-11-2023 14:39
TCS,62.35,17-11-2023 14:39
AAPL,82.54,17-11-2023 14:39
GOOGL,150.01,17-11-2023 14:39
MSFT,55.96,17-11-2023 14:39
TCS,62.9,17-11-2023 14:39
AAPL,81,17-11-2023 14:39
GOOGL,152.28,17-11-2023 14:39
MSFT,55.62,17-11-2023 14:39
TCS,62.02,17-11-2023 14:39
AAPL,81.35,17-11-2023 14:39
GOOGL,150.86,17-11-2023 14:39
MSFT,56.99,17-11-2023 14:39
TCS,60.17,17-11-2023 14:39
AAPL,82.18,17-11-2023 14:39
GOOGL,153.47,17-11-2023 14:39
MSFT,57.85,17-11-2023 14:39
TCS,59.41,17-11-2023 14:39
AAPL,81.83,17-11-2023 14:39
GOOGL,152.12,17-11-2023 14:39
MSFT,57.48,17-11-2023 14:39
TCS,57.67,17-11-2023 14:39
AAPL,81.62,17-11-2023 14:39
GOOGL,150,17-11-2023 14:39
MSFT,58.13,17-11-2023 14:39
TCS,58.78,17-11-2023 14:39
AAPL,82,17-11-2023 14:39
GOOGL,150.99,17-11-2023 14:39
MSFT,59.53,17-11-2023 14:39
TCS,60.27,17-11-2023 14:39
AAPL,80.43,17-11-2023 14:39
GOOGL,153.11,17-11-2023 14:39
MSFT,59.76,17-11-2023 14:39
TCS,59.8,17-11-2023 14:39
AAPL,81.61,17-11-2023 14:39
GOOGL,150.94,17-11-2023 14:39
MSFT,57.99,17-11-2023 14:39
TCS,60.83,17-11-2023 14:39
AAPL,81.79,17-11-2023 14:39
GOOGL,152.13,17-11-2023 14:39
MSFT,59.22,17-11-2023 14:39
TCS,59.59,17-11-2023 14:39
AAPL,81.54,17-11-2023 14:39
GOOGL,154.59,17-11-2023 14:39
MSFT,58.61,17-11-2023 14:39
TCS,58.94,17-11-2023 14:39
AAPL,81.95,17-11-2023 14:39
GOOGL,156.86,17-11-2023 14:39
MSFT,58.15,17-11-2023 14:39
TCS,59.86,17-11-2023 14:39
AAPL,83.14,17-11-2023 14:39
GOOGL,156.21,17-11-2023 14:39
MSFT,56.54,17-11-2023 14:39
TCS,59.22,17-11-2023 14:39
AAPL,83.72,17-11-2023 14:39
GOOGL,158.8,17-11-2023 14:39
MSFT,55.24,17-11-2023 14:39
TCS,57.85,17-11-2023 14:39
AAPL,83.36,17-11-2023 14:39
GOOGL,156.09,17-11-2023 14:39
MSFT,56.69,17-11-2023 14:39
TCS,56.3,17-11-2023 14:39
AAPL,82.81,17-11-2023 14:39
GOOGL,156.76,17-11-2023 14:39
MSFT,56.39,17-11-2023 14:39
TCS,57.7,17-11-2023 14:39
AAPL,82.7,17-11-2023 14:39
GOOGL,158.42,17-11-2023 14:39
MSFT,56.97,17-11-2023 14:39
TCS,56.08,17-11-2023 14:39
AAPL,82.56,17-11-2023 14:39
GOOGL,159.63,17-11-2023 14:39
MSFT,57.49,17-11-2023 14:39
TCS,54.53,17-11-2023 14:39
AAPL,83.7,17-11-2023 14:39
GOOGL,159.31,17-11-2023 14:39
MSFT,58.9,17-11-2023 14:39
TCS,55.19,17-11-2023 14:39
AAPL,84.06,17-11-2023 14:39
GOOGL,161.5,17-11-2023 14:39
MSFT,59.18,17-11-2023 14:39
TCS,55.58,17-11-2023 14:39
AAPL,82.86,17-11-2023 14:39
GOOGL,164.73,17-11-2023 14:39
MSFT,60.07,17-11-2023 14:39
TCS,53.96,17-11-2023 14:39
AAPL,84.09,17-11-2023 14:39
GOOGL,162.84,17-11-2023 14:39
MSFT,59.43,17-11-2023 14:39
TCS,54.81,17-11-2023 14:39
AAPL,84.41,17-11-2023 14:39
GOOGL,165.79,17-11-2023 14:39
MSFT,60.92,17-11-2023 14:39
TCS,53.29,17-11-2023 14:39
AAPL,84.09,17-11-2023 14:39
GOOGL,165.21,17-11-2023 14:39
MSFT,60.3,17-11-2023 14:39
TCS,53.53,17-11-2023 14:39
AAPL,83.26,17-11-2023 14:39
GOOGL,166.25,17-11-2023 14:39
MSFT,61.5,17-11-2023 14:39
TCS,53,17-11-2023 14:39
AAPL,84.56,17-11-2023 14:39
GOOGL,167,17-11-2023 14:39
MSFT,62.16,17-11-2023 14:39
TCS,53.65,17-11-2023 14:39
AAPL,83.11,17-11-2023 14:39
GOOGL,167.65,17-11-2023 14:39
MSFT,61.71,17-11-2023 14:39
TCS,52.53,17-11-2023 14:39
AAPL,82.28,17-11-2023 14:39
GOOGL,170.69,17-11-2023 14:39
MSFT,60.14,17-11-2023 14:39
TCS,52.93,17-11-2023 14:39
AAPL,83.59,17-11-2023 14:39
GOOGL,171.66,17-11-2023 14:39
MSFT,61.12,17-11-2023 14:39
TCS,53.21,17-11-2023 14:39
AAPL,83.75,17-11-2023 14:39
GOOGL,173.08,17-11-2023 14:39
MSFT,60.8,17-11-2023 14:39
TCS,52.42,17-11-2023 14:39
AAPL,85.14,17-11-2023 14:39
GOOGL,170.86,17-11-2023 14:39
MSFT,59.91,17-11-2023 14:39
TCS,53.9,17-11-2023 14:39
AAPL,84.64,17-11-2023 14:39
GOOGL,173.47,17-11-2023 14:39
MSFT,59.21,17-11-2023 14:39
TCS,54.86,17-11-2023 14:39
AAPL,83.57,17-11-2023 14:39
GOOGL,171.81,17-11-2023 14:39
MSFT,60,17-11-2023 14:39
TCS,55.65,17-11-2023 14:39
AAPL,83.13,17-11-2023 14:39
GOOGL,169.06,17-11-2023 14:39
MSFT,58.69,17-11-2023 14:39
TCS,55.25,17-11-2023 14:39
AAPL,84.19,17-11-2023 14:39
GOOGL,168.29,17-11-2023 14:39
MSFT,59.25,17-11-2023 14:39
TCS,56.26,17-11-2023 14:39
AAPL,83.99,17-11-2023 14:39
GOOGL,169.05,17-11-2023 14:39
MSFT,58.26,17-11-2023 14:39
TCS,56.45,17-11-2023 14:39
AAPL,84.93,17-11-2023 14:39
GOOGL,167.24,17-11-2023 14:39
MSFT,59.72,17-11-2023 14:39
TCS,55.87,17-11-2023 14:39
AAPL,86.52,17-11-2023 14:39
GOOGL,170.02,17-11-2023 14:39
MSFT,60.25,17-11-2023 14:39
TCS,56.43,17-11-2023 14:39
AAPL,87.04,17-11-2023 14:39
GOOGL,171.9,17-11-2023 14:39
MSFT,59.98,17-11-2023 14:39
TCS,56.09,17-11-2023 14:39
AAPL,86.22,17-11-2023 14:39
GOOGL,174.33,17-11-2023 14:39
MSFT,60.78,17-11-2023 14:39
TCS,55.71,17-11-2023 14:39
AAPL,84.93,17-11-2023 14:39
GOOGL,177.03,17-11-2023 14:39
MSFT,60.07,17-11-2023 14:39
TCS,54.69,17-11-2023 14:39
AAPL,83.9,17-11-2023 14:39
GOOGL,175.84,17-11-2023 14:39
MSFT,61.58,17-11-2023 14:39
TCS,53.96,17-11-2023 14:39
AAPL,82.61,17-11-2023 14:39
GOOGL,179.09,17-11-2023 14:39
MSFT,62.02,17-11-2023 14:39
TCS,55.18,17-11-2023 14:39
AAPL,81.62,17-11-2023 14:39
GOOGL,181.2,17-11-2023 14:39
MSFT,63.25,17-11-2023 14:39
TCS,54.48,17-11-2023 14:39
AAPL,82.89,17-11-2023 14:40
GOOGL,183.76,17-11-2023 14:40
MSFT,62.75,17-11-2023 14:40
TCS,53.17,17-11-2023 14:40
AAPL,82.23,17-11-2023 14:40
GOOGL,186.68,17-11-2023 14:40
MSFT,61.52,17-11-2023 14:40
TCS,51.59,17-11-2023 14:40
AAPL,81.33,17-11-2023 14:40
GOOGL,189.7,17-11-2023 14:40
MSFT,61.9,17-11-2023 14:40
TCS,51.99,17-11-2023 14:40
AAPL,81.72,17-11-2023 14:40
GOOGL,187.9,17-11-2023 14:40
MSFT,61.36,17-11-2023 14:40
TCS,50.63,17-11-2023 14:40
AAPL,82.47,17-11-2023 14:40
GOOGL,184.18,17-11-2023 14:40
MSFT,59.83,17-11-2023 14:40
TCS,51.06,17-11-2023 14:40
AAPL,83.1,17-11-2023 14:40
GOOGL,186.23,17-11-2023 14:40
MSFT,59.03,17-11-2023 14:40
TCS,50.8,17-11-2023 14:40
AAPL,82.46,17-11-2023 14:40
GOOGL,183.19,17-11-2023 14:40
MSFT,60.22,17-11-2023 14:40
TCS,50.42,17-11-2023 14:40
AAPL,81.31,17-11-2023 14:40
GOOGL,183.7,17-11-2023 14:40
MSFT,59.46,17-11-2023 14:40
TCS,51.6,17-11-2023 14:40
AAPL,80.89,17-11-2023 14:40
GOOGL,186.12,17-11-2023 14:40
MSFT,59.89,17-11-2023 14:40
TCS,50.27,17-11-2023 14:40
AAPL,81.58,17-11-2023 14:40
GOOGL,189.54,17-11-2023 14:40
MSFT,61.25,17-11-2023 14:40
TCS,50.27,17-11-2023 14:40
AAPL,82.57,17-11-2023 14:40
GOOGL,192.02,17-11-2023 14:40
MSFT,62.57,17-11-2023 14:40
TCS,50.27,17-11-2023 14:40
AAPL,82.86,17-11-2023 14:40
GOOGL,193.08,17-11-2023 14:40
MSFT,61.25,17-11-2023 14:40
TCS,50.27,17-11-2023 14:40
AAPL,83.86,17-11-2023 14:40
GOOGL,195.12,17-11-2023 14:40
MSFT,62.54,17-11-2023 14:40
TCS,50.27,17-11-2023 14:40
AAPL,85.31,17-11-2023 14:40
GOOGL,198.5,17-11-2023 14:40
MSFT,62.96,17-11-2023 14:40
TCS,51.31,17-11-2023 14:40
AAPL,85.11,17-11-2023 14:40
GOOGL,197.33,17-11-2023 14:40
MSFT,64.78,17-11-2023 14:40
TCS,50.74,17-11-2023 14:40
AAPL,84.32,17-11-2023 14:40
GOOGL,199.05,17-11-2023 14:40
MSFT,66.54,17-11-2023 14:40
TCS,52.2,17-11-2023 14:40
AAPL,85.57,17-11-2023 14:40
GOOGL,203.03,17-11-2023 14:40
MSFT,64.92,17-11-2023 14:40
TCS,52.66,17-11-2023 14:40
AAPL,83.92,17-11-2023 14:40
GOOGL,206.57,17-11-2023 14:40
MSFT,65.46,17-11-2023 14:40
TCS,51.34,17-11-2023 14:40
AAPL,84.31,17-11-2023 14:40
GOOGL,208.92,17-11-2023 14:40
MSFT,65.1,17-11-2023 14:40
TCS,50.93,17-11-2023 14:40
